author,meanCompound,postCount,majorityLabel
anemiab.bsky.social,0.05143333333333333,3,positive
anenemyspy.bsky.social,-0.0258,1,neutral
angarhad52.bsky.social,0.5562,1,positive
angegen.bsky.social,0.0,1,neutral
angelakmarx.bsky.social,-0.24695,2,neutral
angelrage.bsky.social,0.4588,1,positive
angelsil.bsky.social,0.7735,1,positive
angemmorton.bsky.social,0.064,2,positive
angierasmussen.bsky.social,0.13455,2,negative
anglospud.bsky.social,0.2023,1,positive
angryamericanguy.bsky.social,-0.25,1,negative
angryblueman.bsky.social,-0.4939,1,negative
angrycate.bsky.social,0.0,1,neutral
angrydonkeynews.bsky.social,-0.0516,1,negative
angryman540.bsky.social,-0.08995,2,negative
angrynerdbird.bsky.social,0.0772,1,positive
angrywaterman.bsky.social,-0.056433333333333335,3,positive
anik1968.bsky.social,0.11737142857142857,7,positive
anildharmapal.bsky.social,-0.4357,1,negative
anita2surf.bsky.social,-0.4404,1,negative
anki26.bsky.social,0.3182,1,positive
anklebiter63.bsky.social,-0.5106,1,negative
annabel-lee.bsky.social,0.0,1,neutral
annabookwriter.bsky.social,0.010749999999999982,2,negative
annabusybee.bsky.social,0.2057,1,positive
annagarden.bsky.social,-0.5106,1,negative
annamcduff.bsky.social,0.0,1,neutral
annamerlan.bsky.social,-0.38792499999999996,4,negative
anne-azon.bsky.social,0.6369,1,positive
annecronin.bsky.social,0.06815,2,neutral
annesarapdx.bsky.social,-0.9497,1,negative
anneski.bsky.social,-0.2667,2,negative
annettescherp.bsky.social,0.4047,2,positive
annie-bodi.bsky.social,0.0,1,neutral
anniegirl.bsky.social,-0.5859,1,negative
anniemluke.bsky.social,-0.5574,1,negative
annkpowers.bsky.social,0.7351,1,positive
annmarieconnolly.bsky.social,0.0,1,neutral
annmariepisano.bsky.social,0.6531,1,positive
annnbug.bsky.social,0.4404,1,positive
annothername.bsky.social,0.3747666666666667,3,positive
annothery.bsky.social,0.1531,1,positive
anonbeing.bsky.social,0.20095,2,neutral
anonleeks.bsky.social,0.17353333333333332,6,positive
anonymous-squirrel.bsky.social,0.12200000000000001,3,positive
anonymoussewerrat.bsky.social,-0.2023,1,negative
another-humanist.bsky.social,0.3612,1,positive
anotherben.bsky.social,0.128,1,positive
anotherindiewriter.com,-0.8176,1,negative
anothernerdfighter.bsky.social,0.0,1,neutral
ansibletech.bsky.social,-0.1832,1,negative
antfella.bsky.social,0.4404,1,positive
anthonyantifa.bsky.social,0.0,1,neutral
anthonymkreis.bsky.social,0.296,1,positive
anthrodiva.bsky.social,0.4019,1,positive
anthropocenempg.bsky.social,0.0,1,neutral
antifafrontenac.bsky.social,0.0,1,neutral
antifahere.bsky.social,-0.5719,1,negative
antifascistmom3.bsky.social,0.03260000000000002,2,negative
antifasictmilatant.bsky.social,0.3612,1,positive
antineoliberalism.bsky.social,-0.6597,1,negative
antioligarchy.bsky.social,0.0,1,neutral
antipatriot.bsky.social,-0.8771,1,negative
antiseacide.bsky.social,0.56045,2,positive
antiss.bsky.social,0.4883375,8,positive
antiwhimsybrigade.bsky.social,0.6486,1,positive
antj319.bsky.social,0.0,1,neutral
anto-the-clownest.bsky.social,0.0,1,neutral
anton-decque.bsky.social,-0.25,1,negative
antondeck.bsky.social,0.4404,1,positive
antonioandfrankie.bsky.social,0.2193,1,positive
antoniobnsr.bsky.social,0.0,1,neutral
anxietyridden.bsky.social,-0.3182,1,negative
anymouse.bsky.social,-0.296,1,negative
aohriver.bsky.social,0.5267,1,positive
aozorasf.bsky.social,0.0,1,neutral
apearlma.bsky.social,-0.148,2,neutral
apgodshall.bsky.social,0.3454,2,positive
apjm5.bsky.social,-0.7684,1,negative
aplarrew.bsky.social,0.0,1,neutral
apnews.com,-0.10569500000000001,20,neutral
apoorvanyt.bsky.social,-0.04014999999999999,2,negative
apophis.sapronym.net,0.0,1,neutral
appa69.bsky.social,-0.25022,5,negative
appleandaria.bsky.social,0.29915,2,neutral
april-red-rabbit.bsky.social,0.296,1,positive
aprilblue57.bsky.social,0.0,1,neutral
aprillia.bsky.social,0.5719,1,positive
aprofessionalidiot.bsky.social,0.0,1,neutral
apsmunro.bsky.social,0.6266,2,positive
aquamatsu.bsky.social,-0.2202,2,neutral
aquaraccoon.bsky.social,0.3382,1,positive
arabellaspireship.bsky.social,0.04516666666666667,6,positive
arakay.bsky.social,0.0,1,neutral
arawnsley.bsky.social,-0.8319,1,negative
arbut.bsky.social,-0.4023,1,negative
archer1313.bsky.social,0.3412,1,positive
arcrooksmoor.bsky.social,0.0,1,neutral
arcticfox87.bsky.social,0.0,1,neutral
arctostaphylos-r.bsky.social,0.0,1,neutral
ardenbarden.bsky.social,0.2714,1,positive
ardentreader.bsky.social,-0.7529,1,negative
area51lab.bsky.social,-0.34,1,negative
arepublic86.bsky.social,0.0,1,neutral
areyoucertain.bsky.social,0.0,1,neutral
areyoulostinspace.bsky.social,0.5423,1,positive
argenos.bsky.social,-0.3818,1,negative
ariskatzourakis.bsky.social,0.8625,1,positive
ariusrevenge.bsky.social,0.2516,1,positive
arjb.bsky.social,0.0,1,neutral
arkenor.bsky.social,-0.4636,2,negative
arlene1977.bsky.social,0.06043333333333334,3,positive
arletajames.bsky.social,0.7506,1,positive
armakproductions.com,0.9042,1,positive
armandostiletto.bsky.social,0.0,2,neutral
armchairprez.bsky.social,0.0,1,neutral
armygurl1999.bsky.social,-0.6867666666666666,3,negative
