videoId,title,description,channelTitle,channelId,publishedAt,searchQuery,url,viewCount,likeCount,commentCount,commentsFetched,year,year_month,channel_type
Gmoasjpf_K4,"The Dangerous Truth About Hantavirus: Symptoms, Transmission &amp; Causes! | Dr. Jen Caudle",Hantavirus is dangerous- potentially quite deadly. Learn about this rare virus here in this video. To learn how to protect yourself ...,Dr. Jen Caudle,UCLpPdayeUfDyh6jg3oN-GIg,2026-05-04 22:38:47+00:00,hantavirus symptoms transmission,https://www.youtube.com/watch?v=Gmoasjpf_K4,36296,1124,172,98,2026,2026-05,medical_expert
XPo-_3a4gXo,"Hantavirus Explained | Symptoms, Transmission &amp; Management | CanadaQBank","In this high-yield infectious disease review, we explain Hantavirus — a rodent-borne virus that can cause severe respiratory ...",CanadaQBank,UCeRsidsFcCrF-YSHOa08DnA,2022-06-22 04:08:00+00:00,hantavirus symptoms transmission,https://www.youtube.com/watch?v=XPo-_3a4gXo,12222,169,15,8,2022,2022-06,general_trending
20byWNN5ZqA,Spotting Hantavirus: Key Symptoms &amp; Prevention Tips 🔍,"Hantavirus is making headlines after Gene Hackman's wife Betsy Arakawa's passing. Dr. Ross Cohen breaks down the risks, ...",Hippo Education,UCffgbZCo4l5awQn4BfuEHXA,2025-03-21 04:00:02+00:00,hantavirus symptoms transmission,https://www.youtube.com/watch?v=20byWNN5ZqA,255591,4032,0,0,2025,2025-03,general_trending
YTI-24LLH-U,How contagious is hantavirus?,"Hantavirus, a rare disease typically caused by exposure to infected rodents' urine or feces, is suspected in the deaths of AT ...",CNN,UCupvZG-5ko_eiXAupbDfxWw,2026-05-04 20:33:13+00:00,hantavirus symptoms transmission,https://www.youtube.com/watch?v=YTI-24LLH-U,44006,614,74,40,2026,2026-05,news_media
R5PqcngCWp4,Hantavirus Situation Is Insane,"References below In-depth channel: @HemeReview Secret channel: @BigEmus Music inspired by R. Prince, performed by ...",Chubbyemu,UCKOvOaJv4GK-oDqx-sj7VVg,2026-05-11 22:05:07+00:00,hantavirus symptoms transmission,https://www.youtube.com/watch?v=R5PqcngCWp4,2278222,108244,9695,1185,2026,2026-05,general_trending
94I52t-MMK8,"Hantavirus Basics - Cases, Reservoir, Transmission, Incubation, Symptoms, Prevent | Public Health","In this video, we delve deep into Hantavirus, a deadly virus that can cause serious diseases like Hantavirus Pulmonary Syndrome ...",Whiteboard Medicine Emergency And Critical Care,UCiMhM7xCTT8b5SJRnhpH7Ag,2025-03-27 23:06:59+00:00,hantavirus symptoms transmission,https://www.youtube.com/watch?v=94I52t-MMK8,3314,114,28,11,2025,2025-03,medical_expert
ow-wgzI8Vwo,"Hantavirus Explained by a Dermatologist: Symptoms, Skin Signs &amp; Outbreak Update","Today dermatologist Dr. Dray discusses hantavirus, including the recent MV Hondius cruise ship outbreak, how hantavirus ...",Dr Dray,UCnxmUrGMtpQT844Yd_l7Zyg,2026-05-13 16:01:28+00:00,hantavirus symptoms transmission,https://www.youtube.com/watch?v=ow-wgzI8Vwo,29388,1420,170,79,2026,2026-05,medical_expert
PPZt0LzELVA,How contagious is Hantavirus?,"Hantavirus, a rare disease typically caused by exposure to infected rodents' urine or feces, is suspected in the deaths of AT ...",WJACTV,UCwg7WeUcP9hDMNoyBLHrFzQ,2026-05-05 15:33:55+00:00,hantavirus symptoms transmission,https://www.youtube.com/watch?v=PPZt0LzELVA,4593,38,7,2,2026,2026-05,general_trending
5EKnug643OY,A health expert explains what hantavirus is and how it spreadsーNHK WORLD-JAPAN NEWS,"A recent outbreak of hantavirus on a cruise ship has so far resulted in seven confirmed infections, and three deaths. While the ...",NHK WORLD-JAPAN,UCSPEjw8F2nQDtmUKPFNF7_A,2026-05-12 10:19:32+00:00,hantavirus expert explains,https://www.youtube.com/watch?v=5EKnug643OY,6499,0,0,0,2026,2026-05,news_media
9DC35qoeWH0,"Hantavirus Outbreak: Virus Expert Explains Risk, Immunity, And Sunlight | Dr. Roger Seheult",A deadly hantavirus outbreak linked to a cruise ship is making headlines around the world. But how worried should you really be?,Physicians Committee,UCUPQjZzb_Gf_EuXTjAbGBnw,2026-05-12 16:32:44+00:00,hantavirus expert explains,https://www.youtube.com/watch?v=9DC35qoeWH0,18026,797,146,70,2026,2026-05,medical_expert
